filename	duration	sample_rate	channels
tp_gui_button_press_01.ogg	0.04s	44100Hz	1ch
tp_gui_button_press_02.ogg	0.04s	44100Hz	1ch
tp_gui_panel_close_01.ogg	0.19s	44100Hz	1ch
tp_gui_panel_open_01.ogg	0.25s	44100Hz	1ch
tp_gui_portrait_select_01.ogg	0.16s	44100Hz	1ch
tp_gui_tab_change_01.ogg	0.12s	44100Hz	1ch
tp_machine_detritus_clog_01.ogg	0.70s	44100Hz	1ch
tp_machine_detritus_clog_02.ogg	0.80s	44100Hz	1ch
tp_machine_low_sanctity_warning_01.ogg	1.00s	44100Hz	1ch
tp_machine_low_sanctity_warning_02.ogg	1.00s	44100Hz	1ch
tp_machine_low_sanctity_warning_03.ogg	1.10s	44100Hz	1ch
tp_priest_emergency_01.ogg	1.50s	44100Hz	1ch
tp_priest_emergency_02.ogg	1.50s	44100Hz	1ch
tp_priest_repair_01.ogg	0.56s	44100Hz	1ch
tp_priest_repair_02.ogg	0.56s	44100Hz	1ch
tp_priest_repair_03.ogg	0.56s	44100Hz	1ch
tp_priest_sanctify_oil_01.ogg	0.80s	44100Hz	1ch
tp_priest_sanctify_oil_02.ogg	0.80s	44100Hz	1ch
tp_priest_sanctify_oil_03.ogg	0.82s	44100Hz	1ch
tp_priest_scan_01.ogg	0.25s	44100Hz	1ch
tp_priest_scan_02.ogg	0.25s	44100Hz	1ch
tp_priest_scan_03.ogg	0.25s	44100Hz	1ch
tp_station_link_broken_01.ogg	0.58s	44100Hz	1ch
tp_station_link_broken_02.ogg	0.58s	44100Hz	1ch
tp_station_link_established_01.ogg	0.42s	44100Hz	1ch
tp_station_link_established_02.ogg	0.42s	44100Hz	1ch
